,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text
33,negative,1.0,Customer Service Issue,1.0,Virgin America,amanduhmccarty,0,virginamerica awaiting return phone call would prefer use online selfservice option
34,positive,1.0,None,0.0,Virgin America,NorthTxHomeTeam,0,virginamerica great news america could start flight hawaii end year httptcor8p2zy3fe4 via pacificbiznews
35,neutral,0.6207,None,0.0,Virgin America,miaerolinea,0,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoy7o0unxtqp
36,positive,1.0,None,0.0,Virgin America,Nicsplace,0,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday
37,positive,1.0,None,0.0,Virgin America,Nicsplace,0,virginamerica freddieawards done done best airline around hand
38,neutral,0.6791,None,0.0,Virgin America,elisha_malulani,0,virginamerica book flight hawaii
39,negative,1.0,Customer Service Issue,1.0,Virgin America,DannyDouglass,0,virginamerica chat support working site httptcovhp2gtdwpk
40,positive,0.6639,None,0.0,Virgin America,jamesferrandini,0,virginamerica view downtown los angeles hollywood sign beyond rain mountain httptcodw5nf0ibtr
41,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,will_lenzenjr,0,virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help
42,neutral,1.0,None,0.0,Virgin America,GottAmanda,0,virginamerica plz help win bid upgrade flight 227 laxgtsea
43,neutral,0.6578,None,0.0,Virgin America,KGervaise,0,virginamerica unused ticket moved new city dont fly fly expires travelhelp
44,neutral,1.0,None,0.0,Virgin America,papamurat,0,virginamerica flight leaving dallas seattle time feb 24
45,positive,1.0,None,0.0,Virgin America,arieldaie,0,virginamerica im elevategold good reason rock
46,neutral,0.6799,None,0.0,Virgin America,vacations7,0,virginamerica dream httptcooa2drfaoq2 httptcolwwdac2khx
47,positive,1.0,None,0.0,Virgin America,ChelseaPoe666,0,virginamerica wow blew mind
48,neutral,1.0,None,0.0,Virgin America,BobGlavinVO,0,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree
49,neutral,0.6436,None,0.0,Virgin America,lisaaiko,0,virginamerica ladygaga carrieunderwood entertaining
50,neutral,0.6764,None,0.0,Virgin America,grantbrowne,0,virginamerica flight 769 way supposed take 30 minute ago website still show time flight thanks
51,positive,0.657,None,0.0,Virgin America,joyabsalon,0,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood
52,neutral,1.0,None,0.0,Virgin America,2v,0,virginamerica wish flew atlanta soon
53,neutral,0.7118,None,0.0,Virgin America,KSmithFoundHere,0,virginamerica ladygaga carrieunderwood julie andrew hand
54,neutral,1.0,None,0.0,Virgin America,papamurat,0,virginamerica flight leaving dallas la february 24th
55,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,murphicus,0,virginamerica hi im excited 99 lgagtdal deal ive trying 2 book since last week amp page never load thx
56,positive,1.0,None,0.0,Virgin America,VinnieFerra,0,virginamerica know need spotify stat guiltypleasures
57,positive,0.635,None,0.0,Virgin America,KevinDemsi,0,virginamerica ladygaga carrieunderwood im lady gaga amazing
58,neutral,0.7007,None,0.0,Virgin America,giffgaffman,0,virginamerica ladygaga carrieunderwood carrie
59,neutral,1.0,None,0.0,Virgin America,HanlonBrothers,0,virginamerica new marketing song httpstcof2lfulcbq7 let u know think
60,neutral,1.0,None,0.0,Virgin America,emilybg78,0,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh
61,negative,1.0,Customer Service Issue,1.0,Virgin America,rachie1126,0,virginamerica called 34 week ago adding 3 flight 2014 elevatethey still havent shown uphelp
62,neutral,0.6858,None,0.0,Virgin America,adawson66,0,virginamerica ladygaga carrieunderwood great go carrieunderwood
63,neutral,1.0,None,0.0,Virgin America,SocialPLC,0,virginamerica ladygaga carrieunderwood sorry mary martin first
64,positive,1.0,None,0.0,Virgin America,jeffreymace01,0,virginamerica ladygaga carrieunderwood love three really cant beat classic
65,neutral,0.6814,None,0.0,Virgin America,1stcrown,0,virginamerica flight 0736 dal dca 224 210pm tried check could status please
66,negative,1.0,Customer Service Issue,1.0,Virgin America,onerockgypsy,0,virginamerica heyyyy guyyyys trying get hour someone call please
67,negative,1.0,Late Flight,0.6789,Virgin America,noelduan,0,virginamerica hi virgin im hold 4050 minute earlier flight la nyc tonight earlier 1150pm
68,positive,0.6922,None,0.0,Virgin America,Travelzoo,0,virginamerica congrats winning travelzoo award best deal airline u httptcokj1iljaebv
69,negative,1.0,Lost Luggage,1.0,Virgin America,gianagon,0,virginamerica everything fine lost bag
70,neutral,1.0,None,0.0,Virgin America,bxchen,0,virginamerica need change reservation virgin credit card need modify phone waive change fee online
71,neutral,0.6492,None,0.0,Virgin America,seimatrun,0,virginamerica emailed customer service team let know need tracking number
72,neutral,1.0,None,0.0,Virgin America,jamied7,0,virginamerica hi booked flight need add baggage
73,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,seimatrun,0,virginamerica airline awesome lax loft need step game 40 dirty table floor httptcohy0vrfhjht
74,positive,1.0,None,0.0,Virgin America,mrmichaellay,0,virginamerica worried great ride new plane great crew airline like
75,positive,1.0,None,0.0,Virgin America,TaylorLumsden,0,virginamerica awesome flew yall sat morning way correct bill
76,neutral,1.0,None,0.0,Virgin America,campusmoviefest,0,virginamerica watch best student film country 35000 foot cmfat35000feet httptcokek5pdmgif
77,neutral,1.0,None,0.0,Virgin America,TaylorLumsden,0,virginamerica first time flying different ratepolicy medium bag thanks
78,negative,1.0,Customer Service Issue,1.0,Virgin America,meme_meng,0,virginamerica going customer service anyway speak human asap thank
79,neutral,1.0,None,0.0,Virgin America,kyle_romanoff,0,virginamerica happened doom
80,negative,1.0,Customer Service Issue,1.0,Virgin America,GunsNDip,0,virginamerica cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness
81,positive,1.0,None,0.0,Virgin America,artisticwritr87,0,virginamerica ive applied member inflight crew teamim 100 interested flightattendant dreampath g
82,negative,0.6792,Late Flight,0.3477,Virgin America,arieldaie,0,virginamerica youre best whenever begrudgingly use airline im delayed late flight
83,negative,1.0,Can't Tell,1.0,Virgin America,GunsNDip,0,virginamerica interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness
84,negative,1.0,Can't Tell,1.0,Virgin America,GunsNDip,0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin
85,negative,1.0,Flight Booking Problems,1.0,Virgin America,jsatk,0,virginamerica im trouble adding flight wife booked elevate account help httptcopx8hqoks3r
86,neutral,0.6705,None,0.0,Virgin America,serenaklal,0,virginamerica cant bring reservation online using flight booking problem code
87,neutral,1.0,None,0.0,Virgin America,openambit1,0,virginamerica random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop4
88,neutral,0.6545,None,0.0,Virgin America,cabowine,0,virginamerica lt3 flying va life happens trying change trip jperhi helpva home page let
89,negative,1.0,Can't Tell,0.6513,Virgin America,MaryAnnTaylorT,0,virginamerica site back
90,neutral,1.0,None,0.0,Virgin America,RamotControl,0,virginamerica rnp yeah know
91,neutral,0.6639,None,0.0,Virgin America,losermelon,0,virginamerica hi get point elevate account recent flight add flight point account
92,negative,1.0,Cancelled Flight,1.0,Virgin America,AlisonK33774854,0,virginamerica like tv interesting video disappointed cancelled flightled flight flight went jfk saturday
93,negative,1.0,Late Flight,1.0,Virgin America,GunsNDip,0,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin
94,neutral,0.6765,None,0.0,Virgin America,yazdanagh,0,virginamerica flight 345 redirected
95,negative,1.0,Customer Service Issue,0.6863,Virgin America,MerchEngines,0,virginamerica website btw new website isnt great user experience time another redesign
96,negative,1.0,Customer Service Issue,0.6771,Virgin America,ColorCartel,0,virginamerica cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpi1y
97,negative,1.0,Can't Tell,0.659,Virgin America,MustBeSpoken,0,virginamerica let 2 scanned passenger leave plane told someone remove bag 1st class bin uncomfortable
98,negative,1.0,Flight Booking Problems,0.6714,Virgin America,mattbunk,0,virginamerica phone number cant find call flight reservation
99,negative,1.0,Customer Service Issue,1.0,Virgin America,louisjenny,0,virginamerica anyone anything today website useless one answering phone
100,neutral,1.0,None,0.0,Virgin America,STravelsW,0,virginamerica trying add boy prince ressie sf thursday virginamerica lax httptcogsb2j3c4gm
101,negative,1.0,Late Flight,0.6882,Virgin America,GunsNDip,0,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfo2lax
102,neutral,1.0,None,0.0,Virgin America,joeyrenagade,0,virginamerica check new music httptcomarcnocwzn
103,negative,0.6925,Late Flight,0.3521,Virgin America,mrmichaellay,0,virginamerica hows direct flight fllgtsfo unexpected layover vega 4 fuel yet peep next bought vega flight sneaky
104,negative,1.0,Late Flight,0.3486,Virgin America,GunsNDip,0,virginamerica late flight bag check lost business missed flight apt three people flight exp
105,positive,1.0,None,0.0,Virgin America,TheDuchessSF,0,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying
106,negative,1.0,Customer Service Issue,1.0,Virgin America,BeLeather,0,virginamerica called service line hung awesome sarcasm
107,negative,1.0,Flight Booking Problems,0.6366,Virgin America,BeLeather,0,virginamerica site tripping im trying check im getting plain text version reluctant enter card info
108,neutral,0.6593,None,0.0,Virgin America,drcaseydrake,0,virginamerica scheduled sfo 2 dal flight 714 today changed 24th due weather look like flight still
109,positive,0.6823,None,0.0,Virgin America,flyfromWAS,0,virginamerica getaway deal may 59 oneway lot cool city httptcotzzjhuibch cheapflights farecompare
110,neutral,1.0,None,0.0,Virgin America,flyfromSEA,0,virginamerica getaway deal may 59 oneway lot cool city httptcorpdbpx3wnd cheapflights farecompare
111,positive,0.6806,None,0.0,Virgin America,flyfromNYC,0,virginamerica getaway deal may 59 oneway lot cool city httptcob2xi4yg5t8 cheapflights farecompare
112,neutral,0.6529,None,0.0,Virgin America,flyfromLAX,0,virginamerica getaway deal may 59 oneway lot cool city httptcoqdljhsloi5 cheapflights farecompare
113,positive,0.6779999999999999,None,0.0,Virgin America,Silvanabfer,0,virginamerica great week
114,positive,0.3482,None,0.0,Virgin America,AdamJdubs,0,virginamerica come back phl already need take u horrible cold pleasecomeback httptcoglxfwp6nqh
115,negative,1.0,Late Flight,1.0,Virgin America,nicholas_v,0,virginamerica concerned fly plane need delayed due tech stop
116,positive,1.0,None,0.0,Virgin America,tstashajones,0,virginamerica best airline flown oneasy change reservationhelpful representative amp comfortable flying experience
117,positive,1.0,None,0.0,Virgin America,SkateMamas,0,virginamerica another rep kicked butt naelah represents team beautifully thank
118,positive,1.0,None,0.0,Virgin America,dngoo,0,virginamerica beautiful frontend design right cool still book ticket bc backend secure
119,positive,1.0,None,0.0,Virgin America,SamBrittenham,0,virginamerica love team running gate e9 la tonight waited delayed flight kept thing entertaining
120,negative,0.6832,Customer Service Issue,0.3773,Virgin America,usagibrian,0,virginamerica use another browser 2015 amp brand reputation built tech response doesnt crossbrowser compatible website
121,negative,1.0,Flight Booking Problems,0.6767,Virgin America,usagibrian,0,virginamerica flight flight booking problem site totally folk problem
122,negative,1.0,Customer Service Issue,0.6527,Virgin America,KindofLuke,0,virginamerica like customer service 40 min delay connecting passenger seems long va370
123,positive,1.0,None,0.0,Virgin America,ptbrodie,0,virginamerica thanks outstanding nycjfk crew moved mountain get home san francisco tonight
124,positive,1.0,None,0.0,Virgin America,cheryleng,0,virginamerica absolute best team customer service ever every time fly im delighted thank
125,neutral,1.0,None,0.0,Virgin America,HishamSharaby,0,virginamerica provide complimentary upgrade first class available seat
126,negative,0.6703,Customer Service Issue,0.6703,Virgin America,ChrisFordisHere,0,virginamerica need change flight thats scheduled 9 hour 120 min wait time phone im calling intern help
127,positive,1.0,None,0.0,Virgin America,JKF1897,0,virginamerica completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue
128,neutral,1.0,None,0.0,Virgin America,F6x,0,virginamerica watch oscars2015 jfkgtsfo flight
129,neutral,0.6535,None,0.0,Virgin America,lawyang588,0,virginamerica flight 882 cancelled flightled
130,negative,1.0,Customer Service Issue,0.6448,Virgin America,melokudo,0,virginamerica failing customer check process link tsa precheck
131,negative,1.0,Can't Tell,1.0,Virgin America,ChrysiChrysic,0,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry
132,neutral,1.0,None,0.0,Virgin America,nikkisixxfan93,0,virginamerica flight number 276 sfo cabo san lucas arrived yet
133,negative,1.0,Cancelled Flight,0.6875,Virgin America,ChrysiChrysic,0,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give u hotel hotline shame
134,negative,1.0,Late Flight,1.0,Virgin America,MOCBlogger,0,virginamerica another delayed flight likingyoulessandless
135,negative,1.0,Customer Service Issue,1.0,Virgin America,tfaz,0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
136,positive,1.0,None,0.0,Virgin America,lisaptv,1,virginamerica rock making watch oscar flight redcarpet oscar oscars2015
137,neutral,1.0,None,0.0,Virgin America,dropapp,0,virginamerica reallytallchris dropped track httpstcozv2pt6trk9
138,positive,0.7011,None,0.0,Virgin America,HollywoodHotMom,0,virginamerica always xoxo
139,negative,1.0,Flight Booking Problems,1.0,Virgin America,GoShar2012,0,virginamerica cant book seat flight buy even check creates much anxiety frustrated
140,negative,0.6543,Flight Attendant Complaints,0.3562,Virgin America,MOCBlogger,0,virginamerica youd think paying extra 100 buck rt luggage might afford hiring extra hand sfo lame
141,positive,1.0,None,0.0,Virgin America,SkateMamas,0,virginamerica best customer service rep world irmafromdallas take cake
142,neutral,0.355,None,0.0,Virgin America,FiDiFamilies,0,virginamerica find u flt lax sooner midnight monday would great customer service
143,negative,0.6889,Late Flight,0.6889,Virgin America,jarrydosborne,0,virginamerica please provide status flight 769 cant imagine time web indicates dude weather andor dallas
144,positive,1.0,None,0.0,Virgin America,HollywoodHotMom,0,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort
145,negative,1.0,Cancelled Flight,1.0,Virgin America,mlorenzen,0,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
146,negative,0.679,Flight Booking Problems,0.3684,Virgin America,Tyler_Starrine,0,virginamerica question possible book seat infant 2 giving option want seat
147,positive,1.0,None,0.0,Virgin America,jessicajaymes,2,always together youre welcome rt virginamerica jessicajaymes youre welcome
148,positive,1.0,None,0.0,Virgin America,livingfitly,0,virginamerica flight home dc sunset globe backtowinter back work refreshed httptcovx9vbctdlf
149,negative,1.0,Damaged Luggage,0.6501,Virgin America,khartline,0,virginamerica dont understand need dm give answer damaged luggage policy
150,negative,1.0,Damaged Luggage,1.0,Virgin America,khartline,0,virginamerica mean dont policy destroyed luggage
151,neutral,1.0,None,0.0,Virgin America,MACRoxburgh,0,virginamerica special assistance travel alone w2 kid 1 infant priority boarding
152,positive,1.0,None,0.0,Virgin America,paulnakada,0,virginamerica thank checking ticket purchased customer happy
153,neutral,1.0,None,0.0,Virgin America,wildcatdad,0,virginamerica website ever coming back online
154,neutral,0.6732,None,0.0,Virgin America,RheaThurman1,0,virginamerica flight 713 love field sfo definitely cancelled flightled monday february 23
155,neutral,1.0,None,0.0,Virgin America,Osiris91780,0,virginamerica flight 0769 lga dfw time
156,neutral,1.0,None,0.0,Virgin America,HeatherWhoo,0,virginamerica driver license expired little month fly friday morning using expired license
157,negative,1.0,Customer Service Issue,0.6983,Virgin America,paulnakada,0,virginamerica problem flight booking problem web site keep giving error contact phone phone 30 minute wait
158,negative,0.6593,Cancelled Flight,0.6593,Virgin America,RampantSmashing,0,virginamerica reschedule cancelled flightled flight online change button greyed
159,negative,1.0,Flight Booking Problems,0.6556,Virgin America,intlwriter,0,virginamerica rang wait 35 minute book ticket vendor fix site
160,negative,1.0,Late Flight,0.3571,Virgin America,finslippy,0,virginamerica got flight told 450 todaychecked email 450 tomorrow unacceptable
161,negative,1.0,Cancelled Flight,1.0,Virgin America,finslippy,0,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today12
162,negative,1.0,Bad Flight,1.0,Virgin America,Gr8Fratsby,0,virginamerica dont pairing include red wine white offered redwineisbetter
163,negative,0.6517,Customer Service Issue,0.3371,Virgin America,sbaaronson,0,virginamerica website
164,negative,0.68,Customer Service Issue,0.35,Virgin America,jonesbasf,0,virginamerica site seems little wonked right may want look tried two browser cs httptco8qsqmm7kf2
165,negative,1.0,Customer Service Issue,0.7002,Virgin America,Gr8Fratsby,0,virginamerica im disappointed agent designated silver status check line dullesairport closed assist pasengers
166,neutral,1.0,None,0.0,Virgin America,NewsSWA,0,virginamerica plan include austin dallas route topnews arab emirate httptcoaqzwecokk2
167,negative,1.0,Customer Service Issue,1.0,Virgin America,CSHangover,0,virginamerica normal receive reply central baggage baggageissues smh
168,negative,1.0,longlines,0.6818,Virgin America,girlphotophilly,0,virginamerica logan airport waiting checkin 9am flight checkin desk open
169,neutral,1.0,None,0.0,Virgin America,NewsSWA,0,virginamerica jump dallasaustin market dallasnews httptcoewwgi97gdx
170,neutral,1.0,None,0.0,Virgin America,NewsSWA,0,virginamerica beat eps view take southwestair va luv investor business daily httptcoflwmgdahxu
171,neutral,1.0,None,0.0,Virgin America,Graemelodge5545,0,virginamerica lister show monday 1230 130
172,neutral,1.0,None,0.0,Virgin America,NewsSWA,0,virginamerica begin dallasaustin flight april 889 ketr httptcossuvwwkyhh
173,negative,1.0,Can't Tell,0.6629999999999999,Virgin America,Boards707,0,virginamerica congrats got business ewr sfolax fuck united fl1289 sfoewr clincher
174,negative,1.0,Customer Service Issue,0.6777,Virgin America,MikeWiener,0,virginamerica applied 2 week ago havent heard back im flying week disappointed
175,neutral,0.6816,None,0.0,Virgin America,khartline,0,virginamerica id love know policy damaged luggage
176,positive,1.0,None,0.0,Virgin America,simpasmore,0,virginamerica thank follow
177,negative,1.0,Customer Service Issue,1.0,Virgin America,ChrysiChrysic,0,virginamerica many apology r worse airline dont even respond cudtomers
178,negative,1.0,Cancelled Flight,0.3709,Virgin America,ChrysiChrysic,0,virginamerica shame va making people spend money stranded city airline landing jfk reimburse
179,neutral,0.6701,None,0.0,Virgin America,TTINAC11,0,virginamerica ttinac11 dm
180,neutral,0.6942,None,0.0,Virgin America,elaurawrr,0,virginamerica please flight sjc choice fly southwest vega
181,negative,1.0,Customer Service Issue,0.7148,Virgin America,joyabsalon,0,virginamerica bad say take 10 14 day via confirmation email inquired 3 week claim 6 8 week
182,negative,0.6791,Cancelled Flight,0.6791,Virgin America,meladorri,0,virginamerica flight bos gt la tomorrow cancelled flightled notification wait time 1 hour rebook another airline
183,positive,0.3579,None,0.0,Virgin America,miaerolinea,0,rt virginamerica youve met match got status another airline upgrade restr httptcorhkamx9vf5 httptcopyalebgkjt
184,positive,1.0,None,0.0,Virgin America,archiegips,0,virginamerica way fly elevate gold
185,neutral,0.653,None,0.0,Virgin America,obiwantoby,0,virginamerica guy flight cmh
186,negative,1.0,Can't Tell,0.648,Virgin America,MarwaYousofzoy,0,virginamerica lot apology thrown customer seevery sad thanks nothing worst airline ever
187,negative,1.0,Flight Attendant Complaints,0.6729,Virgin America,TTINAC11,0,virginamerica flight stuff wrong nothing worst flight ever
188,neutral,0.6743,None,0.0,Virgin America,TheNotoriousLEX,0,virginamerica issue finding missing item plane help find airport plane headed next
189,positive,0.6783,None,0.0,Virgin America,advertisingdiva,0,virginamerica match americanairlines status cool
190,neutral,0.6863,None,0.0,Virgin America,Floxie10,0,virginamericayouve met matchgot status another airline upgrade httptcoh952rdktqy asarcoesar
191,negative,1.0,Flight Booking Problems,0.6705,Virgin America,alexrkonrad,0,virginamerica trying book flight guy website wont let lose business
192,negative,1.0,Can't Tell,1.0,Virgin America,MarwaYousofzoy,0,virginamerica suck
193,positive,1.0,None,0.0,Virgin America,lexiesalas,0,virginamerica thanks
194,negative,1.0,Flight Booking Problems,0.6648,Virgin America,MaximWheatley,0,virginamerica dmd issue persisting
195,negative,1.0,Cancelled Flight,1.0,Virgin America,FiDiFamilies,0,virginamerica never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid
196,negative,1.0,Flight Booking Problems,1.0,Virgin America,lexiesalas,0,virginamerica trying book flight amp site
197,negative,0.7158,Cancelled Flight,0.7158,Virgin America,Artenis15,0,virginamerica flight flying boston tomorrow need home cancelled flightled flight didnt anything
198,negative,1.0,Cancelled Flight,1.0,Virgin America,NancyJFriedman,0,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
199,positive,1.0,None,0.0,Virgin America,JT_Magana,0,virginamerica love guy song dancing high school dance revue
200,negative,1.0,Customer Service Issue,0.6733,Virgin America,MaximWheatley,0,virginamerica website im trying check
201,positive,1.0,None,0.0,Virgin America,carabubes,0,virginamerica done thank quick response apparently faster sitting hold
202,neutral,0.6809,None,0.0,Virgin America,carabubes,0,virginamerica nervous flight dc lax getting cancelled flightled tomorrow sent dm help
203,positive,1.0,None,0.0,Virgin America,wmrrock,0,virginamerica cool picture another virginamerica plane wing site httptco5b2agfd8c4
204,positive,1.0,None,0.0,Virgin America,DailyBillboard,0,virginamerica keep great work
205,positive,1.0,None,0.0,Virgin America,BigRichTexasPam,0,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny
206,positive,0.6775,None,0.0,Virgin America,rtw4,0,virginamerica thanks great flight la boston pilot great job landing snow go back la seriously
207,neutral,1.0,None,0.0,Virgin America,casualdiego,0,virginamerica please get new york area monday afternoon
208,positive,1.0,None,0.0,Virgin America,kyle_romanoff,0,virginamerica thanks much awesome support guy rock
209,negative,0.7053,Bad Flight,0.7053,Virgin America,wmrrock,0,virginamerica seat row 8 dont recline mention website soreback
210,negative,1.0,Late Flight,1.0,Virgin America,wmrrock,0,virginamerica flight 404 delayed 2 hour la due mechanical problem handle like pro could tossed u free drink
211,negative,0.642,Cancelled Flight,0.642,Virgin America,BigRichTexasPam,0,virginamerica cancelled flight flight today precipitation scared
212,positive,0.6667,None,0.0,Virgin America,aaronkurlander,0,virginamerica twitter team guy killed rescheduling asap thank
213,negative,1.0,Cancelled Flight,0.6735,Virgin America,MistakeCakeJake,0,virginamerica guy charged 100 reschedule flight cancelled flighted refusing refund whats deal
214,negative,1.0,Customer Service Issue,0.6968,Virgin America,NoelArtiles,0,virginamerica cant access website safari iphone 6 seems work mac ipad need iphone add passbook
215,neutral,0.634,None,0.0,Virgin America,floatingatoll,0,virginamerica ipad iphone clicking checkin link email received 24hrs flight
216,negative,0.6990000000000001,Customer Service Issue,0.6990000000000001,Virgin America,floatingatoll,0,virginamerica mobile site broken show headerelevateusernumofpointsavailable 0 number point wont let checkin
217,negative,0.664,Cancelled Flight,0.3412,Virgin America,aaronkurlander,0,virginamerica really looking forward flight let know rescheduled diehardvirgin
218,negative,1.0,Cancelled Flight,0.6452,Virgin America,aaronkurlander,0,virginamerica cancelled flight flight vx413 one sec delayed airport next cancelled flightledgonna email call reschedule
219,negative,1.0,Customer Service Issue,0.6766,Virgin America,borknagar,0,virginamerica problem link email checkin thanks
220,negative,1.0,Flight Booking Problems,0.6954,Virgin America,propsonline,0,virginamerica change another airline get dc today united able land dc cost 800 ugh
221,negative,1.0,Cancelled Flight,1.0,Virgin America,propsonline,0,virginamerica looking forward first flight today cancelled flightled along subsequent one
222,positive,0.6522,None,0.0,Virgin America,carlos89178,0,virginamerica putting great deal pdx la la pdx show love httptcoeniqg0buzj
223,positive,1.0,None,0.0,Virgin America,carlos89178,0,virginamerica wish afford fly next friday going back home love everything airline
224,negative,1.0,Can't Tell,0.6526,Virgin America,shounshounette,0,virginamerica gon na deal dallas dc deal dc dallas sad
225,neutral,1.0,None,0.0,Virgin America,alanzeino,0,virginamerica bug report guy
226,negative,1.0,Customer Service Issue,1.0,Virgin America,DonnellyPatrick,0,virginamerica hold time call center bit much
227,positive,0.7081,None,0.0,Virgin America,stefanpinto,0,virginamerica like httptcovpqem31xuq
