,unique_id,review_text,rating,sentiment
29,"B0001BRCVS:do_not_buy:tgirl_""tan""","Not even worth 1 star but 0 was not an option;I Used the rope only 5 times before it shredded to pieces and broke. it is the worse product i've ever used. bally's must already know of the defect of this product but is yet still selling it; i work out often and has had ropes before but none of this poor quality. my last rope was a cheap nylon rope which i forgot in my hotel room while traveling and it was of much better quality because i had it for over 3 years and it never gave me any trouble and i used it faithfully everyday. first of all, this Bally's rope would not stay on the doorknob so i tied it tight so it would'nt come off..then while using it it start smelling as if it was burning to pieces and shreds of the black rope start falling in my face. then the pulley start hanging out and after only a week of using it..the rope shredded and broke off the pully all together..so there u have it..u can be curious and buy it to see for yourself but i did ignore a bad review before i ordered it also..thinking it can't be that bad..;))..but it was worse than the review and Bally's lose major points from me...i would'nt even work out at their Gym because they have intentionally cheated people out of money because i'm sure they test products before selling them and they know this is a bad product. well okay there u have it..if u don't believe my review..order and see for yourself.",1.0,negative
30,"B000C9PE32:emjoi:_awful_waste_of_money:melissa_seaman_""skypod""","This epilator by Emjoi does NOT WORK without the cord attached - the motor is too weak. In addition, the only disks that work at all are the two on the ends - the middle disks, since they are inset from the top, never reach the hair. I had to return this item, and I would not trust or recommend ANY item by Emjoi. Extremely poor quality, and does not work as promised",1.0,negative
31,B00099YLKW:it_just_worked:jeff,"There is really nothing special to write about this. It works fine as advertised. It is suprising easy to use. Since I am not a doctor, I can not commend about how accurate the readings are, but it seems to within the range I expected. For the price, I think it is a good deal. Recommended",5.0,positive
32,"B0007QCT74:""flushability""_is_a_non-issue:superhooter","The delightful texture and thick nature of the Cottonelle double role negates the need for excessive use of tp, thereby increasing the likely-hood of a successful flush.  I have found that I use approximately 66% less squares per average bathroom trip since starting to use this new product.  I previously had used post-consumer recycled tp.  Unfortunately, the warm fuzzy feeling I got from cleaning up my excrement without adding to Nature's excrement did not last once I experienced the soft touch of my new tp.  I would gladly recommend Cottenelle to anyone",5.0,positive
33,B000A3I2ZC:seemed_nice_at_first:t._brannock,"This isn't a bad dryer when it comes to convenience and travelling. However, the folding handle did eventually break and I had to modify it to hold it together. I haven't noticed any benefit from the ion control, mine and my wife's hair get's easily frizzled with this dryer, plus it takes a long time to dry in comparison to what others have claimed. The switch is definitely very difficult to use, there's no way a person can use it with one hand.  If you tried, you'd end up dropping the thing. The fact that the off position is between the two speed settings isn't very good either because you push so hard to move the switch you simply move from high to low instead of to the off position. Personally, I can't wait to find her a better one so I can tear this one apart for more interesting things. On the upside, after fixing the handle, it has worked without any real problems for 6 months",2.0,negative
34,B000FGTTUQ:a_small_sample_-_rather_costly:j._demers,"OK folks, this is a relatively low quality starter kit from a really decent company.  The Art of Shaving products in general are really nice, albeit a tad pricey.  This small kit gives you a nice sample of an entire line of shaving products that work nicely together.  The full sized items will cost you about $75 - $100 total.  The included brush is a ""toss away"" quality brush.  This is not just my opinion, but a quote from the manager at an Art of Shaving store.  My advice is to get some samples from a department store, then purchase the Art of Shaving shave cream (wow! a great product) here on Amazon, plus either the Tweezerman Badger Brush for $15 or a Best Badger Brush from Crabtree & Evelyn for $35.",2.0,negative
35,B000BDG84S:maybe_mine_was_just_a_lemon...:j._ball,"Both my wife and I have high blood pressure, which our doctor would like us to track at home. After checking out many brands and styles of automatic monitors, and based on the reviews here, I didn't hesitate to buy the Mark of Fitness, Inc monitor (Prevention edition).  When I received it, there were two problems: First, there was no owner's manual inside. Since I kept getting an ""err 2"" message, I had no way of checking what that meant. (Amazon.com suggested I look online for a pdf version somewhere. Unfortunately, the Mark of Fitness' web site didn't have online manuals.)  The second and more important problem with this product was that it was clearly very inaccurate.  When I finally was able to get some readings, they were: 112/64, 106/60, 96/61, 106/62, 109/64, and 115/62.  Oh, how I wish some of those WERE my readings!  Maybe it was just my misfortune to get that one in 500 lemons with no owner's manual and who knows what else wrong with it, but unfortunately, I won't take a chance on trying another one.  It's going back today",1.0,negative
36,356619,This blood pressure monitor is accurate and easy to use.  I would recommend it to anyone,5.0,positive
37,"B0009MFUN6:best_shave:b._andersen_""bartman""","Electric razors usually do not compete with a blade and shaving cream BUT this one does. The results of shaving with this electric razor is a close shave no stubble in 3 minutes ( heavy beard and neck hairs growing sideways it gets them all). I know because it tells me how many  minutes i used the razor and keeps track of how many minutes are left on one charge, about 60 minutes. The self cleaning part works fine also but every time you clean you also charge the batteries. Cleaning every fourth shave means the batteries are not nearly discharged. I am concerned they will get a short memory. Other than that its great",5.0,positive
38,472918,"I like it very much. I most use the aerobic and regular steps information only, but it is all that I need to help me tracking my performance thru the year. After 18 months of usage, all I needed to do was change the battery (after 12 months). I do recommend it",5.0,positive
39,B0000AS33O:works_great:greenroomsurf_com,I've owned this item for about a year and it works great.  Comfortble to sleep several days in a row on and never had a problem with it deflating.  I recommend this item,5.0,positive
40,13554,I find the Omron hbf-306 body fat analyzer fairly simple to use and pretty accurate overall....,4.0,positive
41,B000BDDFMG:massager:l._cofer,"This product is so much better than I thought it actually would be.  I have been working two and three hours a night preparing for a dance competition.  Often, I awake with muscle spasms in my calfs after working out hard.  Using the massager on a regular basis, I'm now sleeping through the night without leg pain",5.0,positive
42,"B000AEGC9Y:asset_for_those_with_lesser_mobility:buyer_of_two_""well_satisfied""","This is an excellent product, one which is far superior to other walkers with baskets on the market.  Its non-institutional appearance is a real asset. The padded basket cover and foam-encircled back rail provide a comfortable seat in the home or outside. It turns with ease, while still offering real stability.  It does store easily in a backseat or trunk. The weight may make it slightly unwieldy to lift above waist high, and there is some assembly required.",5.0,positive
43,B000BD4T94:works_nice_if_you_can_get_it_installed:fred_camfield,"To get hot lather, which is nice, you first have to get the device installed on top the can.  I would not recommend this if you are easily frustrated.  The directions provided are sparse in several languages.  First you have to pry the top off the can of shaving cream.  They provide a pry tool for that purpose which works well on some brands of shaving cream better than others.  Then you have to fit the device on top the can.  It worked well with one brand in a large size can.  When I tried it with a smaller size can of shaving cream it emptied half the can during the installation process.  Using a different brand in a large can, I had trouble prying the top off the can.  If you have time and patience, and are willing to spend some money on various brands of shaving cream to find one that works well, give it a try.  Otherwise, be forewarned it may lead to frustration and bad language. It would be nice if companies intending to sell products in the US (apparently manufactured somewhere in Asia) would provide a clear set of instuctions in English, in reasonable large readable type, with illustrations.  In this case, they need to clearly specify the type shaving cream can the unit is designed for.  I do not need instructions in foreign languages, and get tired of limited instructions in six languages",1.0,negative
44,"B000FKLBTY:love_it:m._paul_""professional_renovator""",Been using for years and not sure what I would do without this stuf,5.0,positive
45,B000IVCE46:massager:p._uddin,"Bought the massager - overall OK but it is heavy to use with one hand, after sometime it gets to you.  It has a good vibration capability better than the others i had. Could have a better handle and a longer cord.  How about making them 110 - 240V then i can travel with it",4.0,positive
46,B0009953JU:jerdon_first_class_5x_wall_mount_mirror:d._lee,This is a top quality product.  The mirror is the clearest I have seen.  The frame is heavy and has a quality feel to it.  The only disadvantage of this particular model is that the arm is short and does not extend very far,4.0,positive
47,"B000FTYG6A:lush:k._saya-braide_""jabybk""","This moisturizer leaves your skin feeling in a word, lush. Not to mention it's good for your skin, love this produce",5.0,positive
48,B000EPJNMW:travel_size:wnicolay,"They are a nice compact size for travel. They work as advertised, just expect to let them heat up longer than the stated ""quick curl"" time",4.0,positive
49,"B000FKJLTQ:awesome:susan_l._sipe_rabinovitz_""slsrabinovitz""",It doesn't weigh down my hair and it smells like I stepped out of the salon,5.0,positive
50,B000FKGEOG:good_flashlight:s._cohen,The brightness is very good but I had a terrible time installing the batteries,4.0,positive
51,"B000067DYG:must_have:jenn_b_""happy_mom""",This is a must have for breastfeeding moms.  I used it all the time in the beginning.  It helped prevent cracks and soarness.  Great product and safe for baby,5.0,positive
52,B000077VXR:warning:_sinus_attachments_don't_work_with_all_waterpik_dental_jets!:tierra,"I purchased the Waterpik NA-2 gentle sinuse rinse attachment, expecting it to work with the Waterpik Professional Ultra Dental Water Jet, since that is what was advertised. THEY DON'T FIT IN THIS MODEL, SO DON'T WASTE YOUR TIME PURCHASING BOTH TOGETHER! The sinus attachments are too short, so they can't ""click"" into the water pik. The end result: Water leaks out, and there is no pressure through the sinus attachment. I had to return both items since the Amazon rep couldn't find any sinus attachment to work in the Waterpik Ultra model. It's a shame because I love the small footprint of the Waterpik Ultra, and it comes with a lot of cool attachments. Hopefully Waterpik will come up with something in the near future",1.0,negative
53,"B0002MQ7DK:great_hair_all_day:powell_girl_""island_girl""","I live on a island that is hot and humid, gives a great hold. I use a pick for my hair so the curl holds longer. Does all types of hair.",5.0,positive
54,117371,"Reading some of these comments, and after sampling a Hooah bar, I can understand why these bars give you long lasting energy. They're oily and sugary. Lots of sugar for quick energy and the oil stays on the stomach longer so you don't feel hungry quickly- that's why much of fast food is so popular, it tastes good and its satisfying, but it ain't necessarily good for you! The recipe makes it sweeter, and certainly oilier, than eating an ordinary candy bar. I think a Snickers tastes better. For those who are using these as meal replacement bars, I'd be real careful. The bar might be 'balanced' but it isn't a meal. Whatever energy bar you consume, they're good before a workout or post-workout for recovery but don't confuse them with a proper meal and all the components found there.As for me, I prefer an Odwalla bar or Cliff bar. Less grease, true natural ingredients, less hype",1.0,negative
55,B00009RB10:the_perfect_gift_for_a_perfectionist_son:tamy_r._mcdonald,"I bought this as a gift for my son at Christmas time.  He is very happy with it and raves to everyone how well it works, how easy it is to keep clean and how well it performs.  My son at age 24 is always concerned about his appearence, and strives to look his best at all times.  Afterall he is single and quite hansom if I do say so myself!  A perfect gift for that special male that is always hard to buy for.  Lets face it, most males are hard to buy for",5.0,positive
56,B000FKJOB6:must_have:first_time_mommy,These are the best nursing pads out there. I tried several others that would not stick and would leak. I've never had any problems with these,5.0,positive
57,"B000GWE2UG:love_it!:yong_sun_""sunbrave""","Really works pretty well. Very quiet, increase the humidity in room very fast. I fill the tank every other day. I put it on my desk (1m high) and did not see it wetted the carpet. The only thing is that if you see white dust around, you should buy purified water to use it, but it is not the drawback of this product, it is a common problem for any ultrasonic humidifier, which you have to use if you don't want a noisy coolmist",5.0,positive
58,B0009V1YPK:upper_weight_range_is_overstated:ohio_consumer,"After a very positive review by a popular consumer magazine, I purchased this scale. On the unit I received, the upper weight range appears to be overstated by some 20 lbs. The scale I was previously using and the one in my doctors office clearly have my weight below the 300 lb limit. I have been lifting weights and somewhat discouraged by the scale alone. I wanted to see if I was having an impact on body fat so I purchased this scale. When I attempt to use this scale, it errors out with the OL code. Perhaps the magazine should retract another article",1.0,negative
59,B000CQBXUS:amazing:matthew_s._kelly,"This product has far exceeded my expectations. It is very inexpensive and perfect. I leave it on all day/night long on low in my bed room and the air feels so fresh. I cannot hear the unit at all, it's great. I highly recommend it.",5.0,positive
60,B00014FHLM:high_confidence_level:g_lister,"I believe I have a relatively healthy lifestyle so it is difficult to say that any one product made a difference. However, I take the Ultimate Defense along with their Ultimate Florazyme and the Ultimate Meal for 2 meals daily exactly per their directions; breakfast and lunch, and have been doing so for nearly a year now. I highly recommend them. This combination together is the best body fuel I have ever found. And, I have recommended these 3 products to a number of my friends and they too appreciate the quality and effectiveness of them",5.0,positive
61,B000GUSFII:sonicare_elite_toothbruth:g._heaton,I have enjoyed this toothbrush and I think my teeth get brushed better as a result of using this product,5.0,positive
62,"B00000J9DU:great_device:martin_j._fried_""gadget_geek""","My wife, a dental hygenist, brought home a couple of these, one for us and one for her sister's family.  Everyone likes it.  I then bought another from Amazon (for cheaper than she got it from her office) for her sister's young son, who likes it a lot, but wanted one of his own.We've had ours for close to a year, and we use it every day, usually twice each",5.0,positive
63,"B00027907A:not_for_url_coated_lenses!:sarah_e._markey_""sally_m.""","The desciption does not mention that the product is not to be used with URL coated lenses, which is a serious omission given that many or even most eyeglass lenses are coated",1.0,negative
64,392428,"I have used this for about a week and have found it to be very accurate.  I like the various readouts that it has and the quality appears to be excellent.  It is very easy to set up and use.  So far, I have found no fault with it",5.0,positive
65,"B000FKHNHI:good_face_cleaner:john_a._heath_""jah""",I have rosacea and this has helped quite a bit with alleviating the red faced symptoms.,5.0,positive
66,"B000FTOB06:wonderful_glycerin_soap!:ex_techie_""karebear""","I love the fresh grapefruit smell, which doesn't linger, just leaves you smelling fresh.  The bars ARE huge, and lately I've been cutting them in half, making them easier to handle.  Hope Amazon continues to carry this!",5.0,positive
67,49392,"I bought this cuff on recommendation of my Md.  My HMO tested it to be among the best.I've used this BP cuff almost 100 times now.  It appears to be consistently reliable, and has been accurate when tested against standard cuff results.  The ComFit Cuff is much easier to use than the previous ""D"" ring kind.  The only negative I can say about it is that it is sensitive to any movement during use, and you need to use it with your arm positioned with elbow on a stable surface.  Otherwise, it will give an ""error"" message.  I am an RN, and I strongly recommend it.  I also think it would be easy for most elderly adults to use.",4.0,positive
68,B0009WY5AA:this_product_works_wonders!:t._crain,"I purchased this and am thrilled with the upper tray.  The lower is not as easy for me because my lower teeth are a bit uneven but none the less, the whitening is so dramatic.  I actually ended up taking the upper tray and using it on my lower teeth for more coverage.  I give this 5 stars, but in my opinion, I would like Aquafresh to re-design the lower tray to match the size of the upper.  The strips and paint on methods never worked well for me.  The Aquafresh product was absolutely fantastic",5.0,positive
69,B00005NAXG:size_realy_matters:anthony_p._champy,this head is wider than most and it is a better spread of water great shower head and it puts the head over my head instead of at chest level,4.0,positive
70,B000FPH1VG:this_works:g._bjarnason,I was skeptical about this product but tried it anyway.  It does work and it does eliminate the dip in the middle our mattress had formed.  This has given our mattress a little more life so it will last a little longer until it's time to give in and buy a new one,4.0,positive
71,"B0009XH6ZA:excellent_clipper_for_a_great_price:martina_a_akeson_""poodle_mom""","I have been using this clipper for my Standard Poodle for about 6 months now - I do his feet and face at least once a month - and it is great for all our needs.  I have never taken him to a groomer, and have had show dog friends and pro groomers tell me he looks great with just the clipping we do with this clipper.  All clippers will get hot - it's simply a law of physics: two pieces of metal rubbing together at high speed causes heat.  I have extra blades and a damp cloth nearby when the blade gets hot.  If you find the clipper ""drags through the coat"" it may be the same thing that happened to me when I first got it - the blade wasn't snapped down into position correctly and it wasn't clipping at all.  For my Poodle, this clipper is fabulous, and the price can't be beat",5.0,positive
72,111081,"I used to love Huggies Supreme diapers-  until they switched them to this GentleCare or NaturalFit with HugFlex... and honestly they are terrible.  The plain ""old"" Supreme diapers were the best, and now I can't even get them at any store in town anymore.  SO I switched to Pampers Baby Dry, which are about 20 cents per pack cheaper than Pampers Cruisers.  Those were the most terrible diapers I have EVER tried.  Nearing desperation level, I tried Cruisers, and I'm glad I did.  They are almost as good as the old Huggies Supreme diapers.  I love that I can get them with free shipping from Amazon - plus if you enter in the codes on the inside of the packs you can get free stuff from the Pampers website.  Not bad",4.0,positive
73,B000050B6D:my_shaver_works_so_much_better.:bruce_f._cannelongo,I get a faster closer shave with the new razor replacemnt heads.  Get some,5.0,positive
74,"B00067YSLO:excellent:n._grieb_""fire_bender""",I've had the wet 2 straight straightening iron for a few months now and I've got to say it works really great! I love it. Thanks!,5.0,positive
75,B000LQI2S0:great_for_children:e._shearer,"We originally got this to replace the ""fan noise"" in the winter due to our sons' room being so cold.  The first couple days the sound seemed so loud but you quickly get used to it.  We've discovered it's very helpful for blocking out the noise of other children running through the house while our newborn is sleeping in addition to the city noises at night.  With the adjustability dials it's ideal for a nursery or bedroom for those who cannot sleep without a fan.  It doesn't however, cover the sound of someone coughing or snoring loudly.  Would highly recommend this to anyone looking for a sound machine for environmental noise, especially for children",5.0,positive
76,B000KUHFGM:great_product:peter_d._schuller,"We needed something for our baby's room so that we wouldn't have to tip-toe around the house while she was napping. We ordered this item based on the great reviews, but didn't really know what to expect. It's much like the noise produced by a small fan, but without blowing air. It has two speeds, and complete control over the volume and pitch by adjustment of the louvers. Some reviews we read said it was not loud enough. I can't imagine that being a problem as we have it on the quietest setting (louvers completely closed, and low speed) and it's perfect. On high it's PLENTY loud for a device used while sleeping. This product did the trick for us, and I would recommend it to anybody with a light-sleeping baby",5.0,positive
77,"B0006I8I3M:fantastic_glasses_ever_invented:carol_kohankie_""yankee_lady""","Now my husband can't ""borrow"" my gasses and I NEVER loose them.  I have one of each color and get rave comments every time I take them off in front of strangers.",5.0,positive
78,"B0007VP8GI:great!__smooth,_painless_hair_removal._:lilia_h._benjamin","I'm one of those people who hate shaving.  Probably b/c I always break out when my hair grows back and it's quite painful.  Therefore, I hardly ever shave.  My husband doesn't appreciate that.  Anyway, I digress.  I saw this at the pharmacy as I was shopping for other things.  I decided I'd give it a try b/c it says it's Painless.  It really is.  This is just like using a razor.  It does not pull the hair from the root.  It just cuts it off at the top.  But I was able to get my legs to feel really smooth.   My leg hair was fairly long and I had no problems with the Clio.  I'm really happy with it.  I haven't tried my bikini yet.  The only downside to it is that it's pretty loud.",5.0,positive
79,"B0009OAFUM:remington_hkvac-2000_:a._yentin_""red""","This product is great, easy in use, quiet and light. I recommend from the bottom of my heart",4.0,positive
80,B000BIVY3I:worth_the_money!:d._brown,"This product gives your hair great volume without looking greasy.(Be careful not to use too much!) It works best if you have a little time to diffuse your hair with a blow dryer! Not surprisingly, when I use curl conscious many people will compliment the curls and the depth it adds to my hair :)I wish it would combat frizz a little more, but my hair is less frizzy when I use it. I guess the next thing I'll try is the Bumble and Bumble Frizz Fighter",4.0,positive
81,B0009WY5AA:loved_it:jennifer_a._mcclure,"I have tried many whitening products in the past and have not seen much of a difference with any of them.  Although I was dissapointed in the fit these provide, I noticed results after the first use. I personally like the trays much better than the strips because all the goop stays more in the tray than in your mouth",5.0,positive
82,"B000063SIW:best_$10_i_have_ever_spent!!!!!!!:g._saito_""serialkiller""","First I was pretty skeptical, so I did all my research online and I came to a conclusion that I would get this one. My girlfriend offered to buy it for me, but before we could put an order online we headed out to the local target to get some other stuff... and what do you know, target sells this item for the same price $9.99!!!! So we bought it, and soon as I got home I tested it out. WORKS WONDERFULLY!!!!! The only thing I thought that was kinda tacky was the chrome finish and cheap feeling, but who cares because it works great!!!!!!",5.0,positive
83,"B00008BFXG:save_your_gums!:joe_galliani_""creative_genius/social_critic""","My dental hygenist recommeded this item and it works better than I expected.  It has already improved my gums and saved me from oral surgery.  This is the basic item and unless you're an idiot it's all you need from a Sonic Care toothbrush.  All the more expensive versions offer is needless beeps and ways to let you know when 30 seconds are up.  If you hate flossing and aren't likely to keep up with it, this Sonicare will do the job between your teeth",5.0,positive
84,"B0007CXWRE:excellent_product._too_expensive,_but_it's_great.:allana_elovson","I've been using this for years.  You only need the smallest amount, and it never fails to deliver an incredible sheen that makes my hair look alive, without making it stiff or sticky.  I also find the scent great, something very important to me.  If the scent was unpleasant, I couldn't use it, no matter how good it was",5.0,positive
85,B00005B6ZR:would_not_recommend:barbara_r_jones,I purchased these as a Christmas gift for my daughter.  They take way too long to heat up and the clips leave a crimp mark in her hair.  For the money I don't think they were worth it,2.0,negative
